Precio;Años;kilómetros;Tipo de combustible;HP;MetColor;Automático;CC;puertas;Peso
13500;23;46986;Diesel;90;1;0;2000;3;1165
13750;23;72937;Diesel;90;1;0;2000;3;1165
13950;24;41711;Diesel;90;1;0;2000;3;1165
14950;26;48000;Diesel;90;0;0;2000;3;1165
13750;30;38500;Diesel;90;0;0;2000;3;1170
12950;32;61000;Diesel;90;0;0;2000;3;1170
16900;27;94612;Diesel;90;1;0;2000;3;1245
18600;30;75889;Diesel;90;1;0;2000;3;1245
21500;27;19700;Gasolina;192;0;0;1800;3;1185
12950;23;71138;Diesel;69;0;0;;3;1105
20950;25;31461;Gasolina;192;0;0;1800;3;1185
19950;22;43610;Gasolina;192;0;0;1800;3;1185
19600;25;32189;Gasolina;192;0;0;1800;3;1185
21500;31;23000;Gasolina;192;1;0;1800;3;1185
22500;32;34131;Gasolina;192;1;0;1800;3;1185
22000;28;18739;Gasolina;192;0;0;1800;3;1185
22750;30;34000;Gasolina;192;1;0;1800;3;1185
17950;24;21716;Gasolina;110;1;0;1600;3;1105
16750;24;25563;Gasolina;110;0;0;1600;3;1065
16950;30;64359;Gasolina;110;1;0;1600;3;1105
15950;30;67660;Gasolina;110;1;0;1600;3;1105
16950;29;43905;Gasolina;110;0;1;1600;3;1170
15950;28;56349;Gasolina;110;1;0;1600;3;1120
16950;28;32220;Gasolina;110;1;0;1600;3;1120
16250;29;25813;Gasolina;110;1;0;1600;3;1120
15950;25;28450;Gasolina;110;1;0;1600;3;1120
17495;27;34545;Gasolina;110;1;0;1600;3;1120
15750;29;41415;Gasolina;110;1;0;1600;3;1120
16950;28;44142;Gasolina;110;0;0;1600;3;1120
17950;30;11090;Gasolina;110;1;0;1600;3;1120
12950;29;9750;Gasolina;97;1;0;1400;3;1100
15750;22;35199;Gasolina;97;1;0;1400;3;1100
15950;27;29510;Gasolina;97;1;0;1400;3;1100
14950;26;32692;Gasolina;97;1;0;1400;3;1100
15500;22;41000;Gasolina;97;1;0;1400;3;1100
15750;26;43000;Gasolina;97;0;0;1400;3;1100
15950;25;25000;Gasolina;97;0;0;1400;3;1100
14950;23;10000;Gasolina;97;1;0;1400;3;1100
15750;32;25329;Gasolina;97;1;0;1400;3;1100
14750;27;27500;Gasolina;97;0;0;1400;3;1100
13950;22;49059;Gasolina;97;0;0;1400;3;1100
16750;27;44068;Gasolina;97;1;0;1400;3;1100
13950;22;46961;Gasolina;97;0;0;1400;3;1100
16950;27;110404;Diesel;90;0;0;2000;5;1255
16950;22;100250;Diesel;90;0;0;2000;5;1255
19000;23;84000;Diesel;90;0;0;2000;5;1270
17950;27;79375;Diesel;90;1;0;2000;5;1255
15800;22;75048;Gasolina;97;1;0;1400;5;1110
17950;22;72215;Diesel;90;1;0;2000;5;1255
21950;31;64982;Gasolina;192;1;0;1800;5;1195
17950;22;62636;Diesel;90;1;0;2000;5;1255
15750;30;57086;Gasolina;97;1;0;1400;5;1110
20500;26;56000;Gasolina;110;1;1;1600;5;1180
21950;27;49866;Gasolina;192;1;0;1800;5;1195
15500;25;49163;Gasolina;110;0;1;1600;5;1165
13250;32;45725;Gasolina;110;1;0;1600;5;1075
15250;28;43210;Gasolina;97;0;0;1400;5;1110
15250;26;43000;Gasolina;97;0;0;1400;5;1110
18950;23;39704;Gasolina;110;1;1;1600;5;1180
15999;30;38950;Gasolina;110;1;0;1600;5;1130
14950;22;37400;Gasolina;97;1;0;1400;5;1110
16500;27;37177;Gasolina;110;0;0;1600;5;1130
18750;31;36544;Gasolina;110;1;0;1600;5;1130
17950;30;33511;Gasolina;110;1;0;1600;5;1130
17950;27;32809;Gasolina;97;1;0;1400;5;1110
16950;26;32181;Gasolina;110;1;0;1600;5;1075
18950;28;30993;Gasolina;110;1;0;1600;5;1130
14950;22;30400;Gasolina;97;1;0;1400;5;1110
22250;22;30000;Diesel;110;1;0;2000;5;1275
15950;25;29719;Gasolina;97;1;0;1400;5;1110
15950;28;29206;Gasolina;97;1;0;1400;5;1110
12995;32;29198;Gasolina;97;1;0;1400;5;1060
18950;28;28817;Gasolina;110;1;0;1598;5;1130
15750;23;28227;Gasolina;97;1;0;1400;5;1110
19950;28;28000;Gasolina;110;0;0;1600;5;1130
16950;23;28000;Gasolina;110;1;0;1600;5;1115
18750;31;25266;Gasolina;110;1;0;1600;5;1130
18450;27;23489;Gasolina;110;0;0;1600;5;1115
16895;29;22575;Gasolina;110;1;0;1600;5;1115
14900;30;22000;Gasolina;97;1;0;1400;5;1110
18950;25;20019;Gasolina;110;1;1;1600;5;1180
17250;29;20000;Gasolina;110;1;0;1600;5;1115
15450;25;17003;Gasolina;97;1;0;1400;5;1110
17950;31;16238;Gasolina;110;1;1;1600;5;1180
16650;25;15414;Gasolina;97;1;0;1400;5;1110
17450;28;8537;Gasolina;110;1;0;1600;5;1130
14900;30;7000;Gasolina;97;1;0;1400;5;1100
17950;20;66966;Diesel;90;1;0;2000;3;1245
15950;19;51884;Gasolina;97;1;0;1400;3;1100
21950;19;50005;Diesel;110;1;0;2000;3;1265
16450;20;48110;Gasolina;97;1;0;1400;3;1100
22250;20;37500;Diesel;90;1;0;2000;3;1260
19950;;34472;Diesel;90;1;0;1995;3;1260
15950;20;33329;Gasolina;97;1;0;1400;3;1100
18900;20;31850;Gasolina;110;0;0;1600;3;1120
19950;17;30351;Diesel;90;1;0;1995;3;1260
15950;19;29435;Gasolina;97;1;0;1400;3;1100
15950;19;25948;Gasolina;97;1;0;1400;3;1100
18750;11;24500;Gasolina;110;1;0;1600;3;1120
17450;18;23902;Gasolina;97;1;0;1400;3;1100
18990;20;23175;Gasolina;110;1;0;1600;3;1120
16250;19;19200;Gasolina;97;1;0;1400;3;1100
18500;13;18000;Gasolina;71;0;0;1400;3;1125
18500;11;16123;Gasolina;110;1;0;1600;3;1105
19450;11;14635;Gasolina;110;1;1;1600;3;1155
16950;19;13748;Gasolina;97;1;0;1400;3;1100
18800;14;11500;Gasolina;110;1;0;1600;3;1045
17450;17;10000;Gasolina;97;1;0;1400;3;1100
17950;20;7187;Gasolina;110;1;0;1600;3;1105
32500;4;1;Diesel;116;0;0;2000;5;1480
31000;4;4000;Diesel;116;1;0;2000;5;1480
31275;4;1500;Diesel;116;1;0;2000;5;1480
24950;8;13253;Diesel;116;1;0;2000;5;1320
24950;8;13253;Diesel;116;1;0;2000;5;1320
22950;7;10000;Diesel;116;1;0;2000;5;1270
24990;8;6000;Diesel;90;1;0;2000;5;1280
21950;8;10841;Diesel;90;1;0;2000;5;1270
17900;7;1;Gasolina;110;1;0;1600;3;1105
19250;20;63000;Diesel;90;1;0;2000;5;1255
22250;17;57313;Diesel;110;1;0;2000;5;1275
18950;13;57037;Gasolina;110;0;0;1600;5;1115
19950;19;51099;Diesel;90;1;0;2000;5;1255
16350;14;40010;Gasolina;110;1;0;1600;5;1115
18950;20;39115;Gasolina;110;1;0;1600;5;1130
16950;17;36012;Gasolina;110;0;0;1600;5;1130
21750;;36000;Gasolina;110;1;0;1600;5;1130
15950;20;36000;Gasolina;110;1;0;1600;5;1075
16500;20;35000;Gasolina;97;1;0;1400;5;1110
17950;17;33740;Gasolina;97;1;0;1400;5;1135
15850;13;33477;Gasolina;110;1;0;1600;5;1075
16250;20;32627;Gasolina;97;1;0;1400;5;1110
15950;20;29797;Gasolina;97;1;0;1400;5;1110
16250;19;29441;Gasolina;97;1;0;1400;5;1110
15950;13;29371;Gasolina;110;1;0;1600;4;1105
16500;20;29000;Gasolina;97;0;0;1400;5;1110
16500;19;27821;Gasolina;97;0;0;1400;5;1110
18450;19;27371;Gasolina;97;0;0;1400;5;1135
16250;13;25170;Gasolina;110;1;0;1600;5;1105
23000;11;25000;Diesel;116;1;0;2000;5;1320
19900;20;23000;Gasolina;110;1;0;1600;5;1130
16450;20;22588;Gasolina;97;1;0;1400;5;1110
23950;19;21684;Gasolina;192;1;0;1800;5;1185
19950;13;21428;Gasolina;110;1;0;1600;5;1130
18500;;20629;Gasolina;110;1;0;1600;4;1090
18950;15;20270;Gasolina;110;1;0;1600;5;1130
16450;;20105;Gasolina;97;0;0;1400;5;1110
20500;20;20000;Gasolina;110;0;1;1600;5;1165
24500;13;19988;Gasolina;110;1;0;1600;5;1130
19450;19;18328;Gasolina;110;0;0;1600;5;1130
20950;14;17896;Gasolina;110;1;1;1600;4;1150
17200;20;17300;Gasolina;97;1;0;1400;5;1110
19950;19;17038;Gasolina;110;0;0;1600;5;1130
18450;10;13747;Gasolina;97;1;0;1400;5;1110
19500;12;13634;Gasolina;110;1;0;1600;5;1115
21750;13;13178;Gasolina;110;1;0;1600;5;1130
16868;15;13157;Gasolina;97;1;0;1400;4;1085
19500;;13000;Gasolina;110;1;0;1600;4;1105
18900;11;12500;Gasolina;110;1;0;1600;5;1115
19750;17;11999;Gasolina;110;1;0;1600;5;1130
19750;;11754;Gasolina;110;0;1;1600;5;1180
18950;;11000;Gasolina;110;1;0;1600;4;1105
20750;17;10000;Gasolina;110;0;0;1598;5;1105
19600;9;7650;Gasolina;110;1;0;1600;5;1115
19500;14;6500;Gasolina;110;1;0;1600;4;1100
17650;11;6155;Gasolina;97;1;0;1400;5;1110
19950;14;6000;Gasolina;110;0;0;1600;5;1130
19950;14;5459;Gasolina;110;1;0;1600;5;1130
20950;14;5278;Gasolina;110;1;1;1600;4;1150
20500;12;5000;Gasolina;110;1;0;1600;5;1130
17795;9;1;Gasolina;98;1;0;1400;4;1065
18245;9;1;Gasolina;110;1;0;1600;5;1075
23750;8;11000;Gasolina;110;1;0;1600;5;1130
19500;8;10077;Gasolina;97;1;0;1400;5;1110
18950;8;10000;Gasolina;97;1;0;1400;5;1110
21950;8;9788;Gasolina;110;1;0;1600;5;1130
19950;8;8574;Gasolina;110;1;0;1600;5;1130
18950;8;7000;Gasolina;110;0;0;1600;5;1115
19950;7;6250;Gasolina;110;1;0;1600;5;1115
21950;8;5000;Gasolina;110;1;0;1600;5;1130
22500;6;3000;Gasolina;110;0;0;1600;5;1130
18500;7;2000;Gasolina;110;0;0;1600;5;1075
18700;7;450;Gasolina;97;1;0;1400;5;1110
21125;2;225;Gasolina;97;1;0;1400;5;1110
21500;2;15;Gasolina;110;1;0;1600;5;1130
17795;1;1;Gasolina;98;1;0;1400;4;1100
18245;1;1;Gasolina;110;1;0;1600;5;1075
6950;43;243000;Diesel;69;0;0;;3;1110
9500;38;180638;Diesel;90;0;0;2000;4;1160
11950;40;179860;Diesel;90;1;0;2000;5;1205
7750;43;178858;GNC;110;0;0;1600;3;1084
11950;40;161000;Diesel;69;1;0;;3;1105
4350;44;158320;Diesel;69;0;0;1800;5;1110
4750;44;131273;Diesel;69;1;0;1800;5;1110
11750;40;130062;Diesel;69;1;0;;5;1140
13250;41;123425;Diesel;69;1;0;;5;1140
11950;37;118217;Gasolina;110;1;0;1600;5;1075
11900;44;110000;Diesel;69;1;0;;5;1095
14750;39;108847;Diesel;90;1;0;2000;5;1205
9950;42;105699;Gasolina;97;1;0;1400;3;1025
11950;39;98823;GNC;110;1;0;1600;5;1119
11495;44;96829;Gasolina;110;1;0;1600;5;1075
11250;40;96518;Gasolina;97;1;0;1400;3;1025
10500;42;92204;Gasolina;110;1;0;1600;5;1075
10450;35;91456;Diesel;69;1;0;;3;1110
12950;43;89968;Diesel;69;1;0;;5;1140
11500;44;89757;Gasolina;110;1;0;1600;3;1045
12500;40;85389;Gasolina;110;1;0;1600;5;1075
10950;43;85017;Gasolina;97;0;0;1400;5;1060
11450;41;84312;Gasolina;110;0;0;1600;5;1080
11950;37;82743;GNC;110;1;0;1600;5;1121
13250;41;81106;Diesel;69;1;0;;5;1140
14750;40;80425;Diesel;90;1;0;2000;5;1205
11790;34;78677;Gasolina;110;1;1;1600;5;1105
11450;40;78425;Gasolina;110;1;0;1600;5;1075
13500;33;78108;Diesel;90;1;0;2000;3;1170
10950;33;77321;Gasolina;110;1;0;1600;5;1075
13500;33;75699;Diesel;69;0;0;;3;1105
10950;41;75697;Gasolina;97;1;0;1400;3;1025
10950;44;74846;Gasolina;97;1;0;1400;3;1025
12950;38;74319;Gasolina;110;1;0;1600;5;1075
11950;43;74285;Gasolina;110;1;0;1600;5;1075
12450;44;74172;Gasolina;110;1;0;1600;5;1615
11950;40;73042;Gasolina;110;1;0;1598;5;1075
14950;44;71793;GNC;110;1;0;1600;4;1067
12450;35;71200;Gasolina;110;1;0;1600;5;1075
12950;38;67805;Gasolina;110;1;0;1600;5;1075
11950;35;65988;Gasolina;110;1;0;1600;3;1040
11690;34;65345;Gasolina;97;1;0;1400;5;1060
12450;42;64564;Gasolina;110;1;0;1600;5;1080
12750;36;63459;Gasolina;97;1;0;1400;5;1060
11925;44;63451;Gasolina;97;0;0;1400;3;1025
12950;33;62000;Gasolina;110;1;0;1600;5;1075
11950;42;61300;Gasolina;97;1;0;1400;3;1030
12900;41;61200;Gasolina;110;1;0;1600;3;1045
11900;41;61000;Gasolina;110;0;0;1600;5;1075
11650;38;60829;Gasolina;110;1;0;1600;5;1075
10950;44;60500;Gasolina;110;0;0;1600;5;1075
13950;35;59500;Diesel;69;1;0;;3;1110
13950;44;59000;Gasolina;110;0;1;1600;5;1110
11950;40;58954;Gasolina;110;1;0;1600;5;1080
10950;38;58798;Gasolina;110;1;0;1600;5;1075
12450;38;58363;Gasolina;110;1;0;1600;3;1055
11950;43;58277;Gasolina;110;1;0;1600;3;1045
13500;33;57711;Diesel;90;1;0;2000;3;1165
11690;33;57269;Gasolina;110;1;0;1600;5;1075
13500;39;56001;Gasolina;110;1;0;1600;5;1075
11950;42;55968;Gasolina;110;0;0;1600;3;1050
12900;39;55678;Gasolina;110;1;0;1600;4;1030
13500;43;55539;Gasolina;110;1;0;1600;5;1085
11750;42;55400;Gasolina;110;0;0;1600;5;1075
11750;33;55350;Gasolina;110;0;0;1600;5;1075
10850;43;54600;Gasolina;110;0;0;1600;4;1030
11750;43;53773;Gasolina;110;1;0;1600;5;1075
14950;42;53719;Gasolina;110;1;1;1600;5;1105
9940;39;53644;Gasolina;110;1;0;1600;5;1075
12900;42;53350;Gasolina;110;0;0;1600;5;1075
13500;38;53000;Gasolina;110;1;0;1600;5;1075
11750;44;52084;Gasolina;97;1;0;1400;3;1025
11950;44;52000;Gasolina;97;0;0;1400;3;1025
13450;33;51945;Gasolina;110;1;0;1600;5;1075
11950;41;51732;Gasolina;97;1;0;1400;3;1025
12495;39;50873;Gasolina;110;1;0;1600;5;1075
13500;41;50856;Gasolina;110;0;0;1600;4;1030
12750;40;50640;Gasolina;110;1;0;1600;5;1075
12000;39;50000;Gasolina;97;1;0;1400;5;1060
11950;38;49500;Gasolina;110;1;0;1600;5;1075
12495;44;49332;Gasolina;110;1;0;1600;5;1080
12450;34;49291;Gasolina;110;1;0;1600;3;1040
14750;40;48952;Diesel;90;1;0;2000;5;1205
10950;39;48945;Gasolina;110;0;0;1600;3;1040
13500;33;48928;Diesel;69;1;0;;3;1105
12950;38;48197;Gasolina;110;1;0;1600;5;1075
13500;35;48052;Diesel;69;1;0;;3;1105
13450;34;48011;Gasolina;110;1;0;1600;4;1030
13500;43;48000;Gasolina;110;1;0;1600;5;1075
11480;41;47350;Gasolina;110;1;0;1600;5;1075
13450;39;46821;Gasolina;97;1;0;1400;5;1060
11495;39;46694;Gasolina;110;0;0;1600;3;1040
12750;43;46515;Gasolina;97;0;0;1400;5;1025
14990;38;46327;Gasolina;110;1;0;1600;3;1055
12950;35;46304;Gasolina;97;1;0;1400;5;1060
12950;40;45886;Gasolina;110;1;0;1600;5;1080
12850;39;45713;Gasolina;97;1;0;1400;5;1085
13950;40;45600;Gasolina;110;1;1;1600;5;1105
11950;41;45287;Gasolina;110;1;0;1600;5;1075
12950;39;45081;Gasolina;110;1;0;1600;5;1075
11700;40;44830;Gasolina;110;1;0;1600;5;1075
9950;37;44757;Gasolina;97;0;0;1400;3;1025
11895;44;44218;Gasolina;97;1;0;1400;5;1060
12950;43;43632;Gasolina;110;1;0;1600;5;1075
12500;36;43427;Gasolina;110;1;0;1600;3;1040
13875;39;43254;Gasolina;110;1;0;1600;5;1075
10500;35;43000;Gasolina;110;0;0;1600;3;1050
12295;33;42823;Gasolina;110;1;0;1600;5;1075
13950;42;42560;Gasolina;110;1;0;1600;5;1080
10950;38;41754;Gasolina;110;0;0;1600;3;1040
12950;44;41499;GNC;110;1;0;1600;5;1103
12850;40;41339;Gasolina;110;1;0;1600;5;1080
13995;35;41000;Gasolina;110;1;0;1600;5;1075
13750;39;40000;Gasolina;110;1;0;1600;3;1055
12750;37;39757;Gasolina;110;1;0;1600;5;1075
12500;41;39659;Gasolina;110;1;0;1600;3;1045
13950;43;39650;Gasolina;110;0;0;1600;3;1055
11500;39;39524;Gasolina;97;1;0;1398;3;1025
13950;44;39516;Gasolina;97;1;0;1400;5;1060
11895;41;39439;Gasolina;97;0;0;1400;5;1060
9950;44;39000;Gasolina;97;1;0;1400;3;1025
13500;42;38932;Gasolina;110;1;0;1600;3;1040
11450;37;38812;Gasolina;97;0;0;1400;3;1025
12450;42;38665;Gasolina;110;1;0;1600;5;1075
12950;40;38653;Gasolina;110;1;0;1600;5;1080
13995;44;38461;Gasolina;110;1;0;1600;5;1080
11750;42;38078;Gasolina;97;0;0;1400;3;1025
11650;39;37782;Gasolina;97;1;0;1400;5;1060
9950;43;37576;Gasolina;97;0;0;1400;3;1030
13950;41;37533;Gasolina;110;1;0;1600;5;1075
12950;44;37389;Gasolina;110;1;0;1600;5;1080
10950;38;37320;Gasolina;97;1;0;1400;3;1025
9900;42;37000;Gasolina;97;1;0;1400;3;1025
11950;44;37000;Gasolina;110;0;0;1600;4;1075
11990;40;36566;Gasolina;110;0;0;1600;5;1090
10750;36;36269;Gasolina;110;1;0;1600;5;1075
13950;37;36074;Gasolina;110;1;1;1600;5;1075
11250;44;36066;Gasolina;110;1;0;1600;3;1040
12950;39;34599;Gasolina;110;1;0;1600;5;1075
11950;41;34000;Gasolina;110;1;0;1600;5;1075
10950;42;33623;Gasolina;97;1;0;1400;3;1025
12950;33;33591;Gasolina;110;1;0;1600;5;1075
12950;35;33258;Gasolina;110;1;0;1600;5;1075
11695;43;33113;Gasolina;110;1;0;1600;5;1075
11000;41;33000;Gasolina;110;1;1;1600;5;1075
13950;35;32941;Gasolina;110;1;0;1600;5;1080
11950;38;32781;Gasolina;110;0;0;1600;5;1075
11750;40;32532;Gasolina;110;1;0;1600;3;1040
12400;34;32431;Gasolina;97;1;0;1400;5;1060
12500;35;32000;Gasolina;110;0;0;1600;3;1040
12900;33;31000;Gasolina;110;1;0;1600;5;1075
12200;41;30989;Gasolina;110;0;0;1600;3;1045
12750;43;30742;Gasolina;110;1;0;1600;3;1040
11950;42;30190;Gasolina;110;1;0;1600;5;1075
11900;41;29716;Gasolina;116;1;0;1600;5;1075
11950;44;29716;Gasolina;110;1;1;1600;3;1070
14950;42;29640;Gasolina;110;0;0;1600;3;1055
11950;41;29056;Gasolina;97;1;0;1400;5;1060
12950;33;28715;Gasolina;110;1;0;1600;5;1075
14950;41;28571;Gasolina;110;0;0;1600;5;1090
13450;40;28362;Gasolina;110;1;0;1600;3;1040
13750;38;28150;Gasolina;110;1;0;1600;5;1075
12950;43;27301;Gasolina;110;1;0;1600;3;1040
12750;33;27240;Gasolina;110;1;0;1600;5;1075
11895;39;27170;Gasolina;97;1;0;1400;5;1060
9950;42;27141;Gasolina;97;1;0;1400;5;1060
12450;38;26262;Gasolina;110;1;0;1600;5;1075
12500;38;26000;Gasolina;97;1;0;1400;5;1060
14950;43;25228;Gasolina;110;1;0;1600;3;1045
13750;39;25062;Gasolina;110;1;0;1600;5;1080
